OBJECT_ID,COLONNE,VALEUR
13550-AVIS-SOC-GLASSDOOR-E10686_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
13550-AVIS-SOC-GLASSDOOR-E10686_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html/13550-AVIS-SOC-GLASSDOOR-E10686_P1.html
13550-AVIS-SOC-GLASSDOOR-E10686_P1.html,FILE_TYPE,html
13550-AVIS-SOC-GLASSDOOR-E10686_P1.html,COPY_STATUS,SUCCESS
13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,DATE_COPY,2025-11-16 14:29:18.778907
13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html
13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html/13550-AVIS-SOC-GLASSDOOR-E10686_P2.html
13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,FILE_TYPE,html
13550-AVIS-SOC-GLASSDOOR-E10686_P2.html,COPY_STATUS,SUCCESS
13550-INFO-EMP-LINKEDIN-FR-1573133460.html,DATE_COPY,2025-11-16 14:29:19.036923
13550-INFO-EMP-LINKEDIN-FR-1573133460.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13550-INFO-EMP-LINKEDIN-FR-1573133460.html/13550-INFO-EMP-LINKEDIN-FR-1573133460.html
13550-INFO-EMP-LINKEDIN-FR-1573133460.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13550-INFO-EMP-LINKEDIN-FR-1573133460.html/13550-INFO-EMP-LINKEDIN-FR-1573133460.html
13550-INFO-EMP-LINKEDIN-FR-1573133460.html,FILE_TYPE,html
13550-INFO-EMP-LINKEDIN-FR-1573133460.html,COPY_STATUS,SUCCESS
13550-INFO-SOC-GLASSDOOR-E10686_P1.html,DATE_COPY,2025-11-16 14:29:19.657479
13550-INFO-SOC-GLASSDOOR-E10686_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13550-INFO-SOC-GLASSDOOR-E10686_P1.html/13550-INFO-SOC-GLASSDOOR-E10686_P1.html
13550-INFO-SOC-GLASSDOOR-E10686_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13550-INFO-SOC-GLASSDOOR-E10686_P1.html/13550-INFO-SOC-GLASSDOOR-E10686_P1.html
