date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 Inconnu;13712-INFO-SOC-GLASSDOOR-E3041003_P1.html;89;Crédit Agricole d'Aquitaine; Inconnu;Bordeaux, Aquitaine;De 1 001 à 5 000 employés; Entreprise cotée en bourse;Bordeaux, Aquitaine
 2007;13562-INFO-SOC-GLASSDOOR-E1303620_P1.html;9;2S2I Solutions & Services; Services informatiques;Montpellier;De 51 à 200 employés; Autre organisation;Montpellier
 Inconnu;13713-INFO-SOC-GLASSDOOR-E3142186_P1.html;90;Crédit Agricole; Inconnu;Paris;Inconnu; Entreprise cotée en bourse;Paris
 1973;13714-INFO-SOC-GLASSDOOR-E10777_P1.html;91;Lectra; Matériel et logiciels informatiques;Paris;De 1 001 à 5 000 employés; Entreprise cotée en bourse (LSS) ;Paris
 1968;13716-INFO-SOC-GLASSDOOR-E466295_P1.html;92;Sopra Steria; Services informatiques;Annecy-le-Vieux;Plus de 10 000 employés; Entreprise cotée en bourse (SOP:EN Paris) ;Annecy-le-Vieux
"<a href=""/Présentation/Travailler-chez-Sopra-Steria-EI_IE466295.16,28.htm"">Sopra Steria</a>";13717-INFO-SOC-GLASSDOOR-E1187250_P1.html;93;Sopra Steria Recruitment; Filiale ou unité d'exploitation;Reading, Angleterre (Royaume-Uni);De 51 à 200 employés; 1979;Reading, Angleterre (Royaume-Uni)
 2013;13718-INFO-SOC-GLASSDOOR-E1881876_P1.html;94;CITECH; Services informatiques;Paris;De 51 à 200 employés; Cabinet / Société du secteur privé;Paris
 2010;13722-INFO-SOC-GLASSDOOR-E1256638_P1.html;95;Group Adaming; Services informatiques;Paris;De 501 à 1 000 employés; Cabinet / Société du secteur privé;Paris
 1987;13723-INFO-SOC-GLASSDOOR-E373493_P1.html;96;Micropole; Conseils;Levallois-Perret;De 1 001 à 5 000 employés; Entreprise cotée en bourse;Levallois-Perret
 1976;13724-INFO-SOC-GLASSDOOR-E1126011_P1.html;97;alptis assurances; Inconnu;Lyon;Entre 201 et 500 employés; Inconnu;Lyon
 Entreprise cotée en bourse (POM) ;13725-INFO-SOC-GLASSDOOR-E10842_P1.html;98;Plastic Omnium; Entre 2 et 5 milliards € (EUR) par an;Plus de 10 000 employés; 1946; Fabrication d'équipement de transport;Plus de 10 000 employés
 Inconnu;13727-INFO-SOC-GLASSDOOR-E1261010_P1.html;99;Mixt Composites Recyclables; Inconnu;Tournon-sur-Rhône;Inconnu; Inconnu;Tournon-sur-Rhône
