date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 1988;13783-INFO-SOC-GLASSDOOR-E231247_P1.html;126;ACCEO Solutions; Solutions logicielles et réseau d'entreprise;Montréal, QC (Canada);De 501 à 1 000 employés; Entreprise non cotée en bourse;Montréal, QC (Canada)
 1987;13787-INFO-SOC-GLASSDOOR-E35333_P1.html;127;GFI Group; Services de courtage;New York, NY (États-Unis);De 1 001 à 5 000 employés; Entreprise cotée en bourse (GFIG) ;New York, NY (États-Unis)
 1995;13790-INFO-SOC-GLASSDOOR-E9028_P1.html;128;Gfi Informatique; Services informatiques;Saint-Ouen, Île-de-France;Plus de 10 000 employés; Entreprise cotée en bourse;Saint-Ouen, Île-de-France
 Inconnu;13791-INFO-SOC-GLASSDOOR-E116383_P1.html;129;GFI; Jeux vidéo;Moscou (Russie);De 51 à 200 employés; Entreprise non cotée en bourse;Moscou (Russie)
 2003;13571-INFO-SOC-GLASSDOOR-E1061225_P1.html;13;Expertime; Services informatiques;Viroflay;De 51 à 200 employés; Entreprise non cotée en bourse;Viroflay
 1992;13792-INFO-SOC-GLASSDOOR-E33451_P1.html;130;GFI Software; Matériel et logiciels informatiques;Austin, TX (États-Unis);De 51 à 200 employés; Entreprise non cotée en bourse;Austin, TX (États-Unis)
 1988;13795-INFO-SOC-GLASSDOOR-E231247_P1.html;131;ACCEO Solutions; Solutions logicielles et réseau d'entreprise;Montréal, QC (Canada);De 501 à 1 000 employés; Entreprise non cotée en bourse;Montréal, QC (Canada)
 1967;13796-INFO-SOC-GLASSDOOR-E3054_P1.html;132;Accor; Hôtels, motels et stations de tourisme;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (ACCOR SA) ;Paris
"<a href=""/Présentation/Travailler-chez-Accor-EI_IE3054.16,21.htm"">Accor</a>";13800-INFO-SOC-GLASSDOOR-E1443740_P1.html;133;ibis; Filiale ou unité d'exploitation;Courcouronnes;Plus de 10 000 employés; Inconnu;Courcouronnes
 Inconnu;13801-INFO-SOC-GLASSDOOR-E736804_P1.html;134;La Redoute; Autres magasins de détail;Roubaix;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Roubaix
 Inconnu;13802-INFO-SOC-GLASSDOOR-E3127620_P1.html;135;LA REDOUTE; Inconnu;Roubaix;Inconnu; Entreprise cotée en bourse;Roubaix
 1853;13803-INFO-SOC-GLASSDOOR-E20114_P1.html;136;Veolia; Services publics de distribution;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (VIE) ;Paris
"<a href=""/Présentation/Travailler-chez-Veolia-EI_IE20114.16,22.htm"">Veolia</a>";13805-INFO-SOC-GLASSDOOR-E846722_P1.html;137;OTV; Filiale ou unité d'exploitation;Saint-Maurice, Alsace;Plus de 10 000 employés; 1980;Saint-Maurice, Alsace
 Entreprise non cotée en bourse;13806-INFO-SOC-GLASSDOOR-E2701639_P1.html;138;Veolia Water Tech; Ne sait pas / non applicable par an;Inconnu; Inconnu; Inconnu;Inconnu
 Inconnu;13807-INFO-SOC-GLASSDOOR-E1260894_P1.html;139;Groupe NICOLLIN - Groupe VEOLIA; Inconnu;Saint-Fons;Inconnu; Inconnu;Saint-Fons
 Inconnu;13572-INFO-SOC-GLASSDOOR-E2098670_P1.html;14;Adsearch; Inconnu;Paris;De 51 à 200 employés; Entreprise non cotée en bourse;Paris
 2011;13809-INFO-SOC-GLASSDOOR-E413452_P1.html;140;Transdev; Gestion des transports;Lombard, IL (États-Unis);Plus de 10 000 employés; Entreprise non cotée en bourse;Lombard, IL (États-Unis)
 1987;13574-INFO-SOC-GLASSDOOR-E1130973_P1.html;15;Groupe Adéquat; Recrutement et sous-traitance;Lyon;De 501 à 1 000 employés; Entreprise non cotée en bourse;Lyon
 Inconnu;13575-INFO-SOC-GLASSDOOR-E1922609_P1.html;16;Multimedia France Productions; Inconnu;Paris;De 51 à 200 employés; Inconnu;Paris
"<a href=""/Présentation/Travailler-chez-Adecco-Group-EI_IE1389739.16,28.htm"">Adecco Group</a>";13576-INFO-SOC-GLASSDOOR-E18712_P1.html;17;Modis; Filiale ou unité d'exploitation;Zurich (Suisse);De 5 001 à 10 000 employés; 1994;Zurich (Suisse)
 1964;13577-INFO-SOC-GLASSDOOR-E235143_P1.html;18;UK Ministry of Defence; Organismes fédéraux;Londres, Angleterre (Royaume-Uni);Plus de 10 000 employés; Gouvernement;Londres, Angleterre (Royaume-Uni)
 1991;13584-INFO-SOC-GLASSDOOR-E1044716_P1.html;19;Smile Group; Services informatiques;Asnières-sur-Seine;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Asnières-sur-Seine
 1919;13550-INFO-SOC-GLASSDOOR-E10686_P1.html;2;Atos; Services informatiques;Bezons;Plus de 10 000 employés; Entreprise cotée en bourse (ATO) ;Bezons
 1969;13585-INFO-SOC-GLASSDOOR-E13058_P1.html;20;Cegedim; Matériel et logiciels informatiques;Boulogne-Billancourt;De 1 001 à 5 000 employés; Entreprise cotée en bourse (CGM) ;Boulogne-Billancourt
 2009;13586-INFO-SOC-GLASSDOOR-E649071_P1.html;21;Groupe Creative; Services d'architecture et d'ingénierie;Rennes;Entre 201 et 500 employés; Entreprise non cotée en bourse;Rennes
 1948;13587-INFO-SOC-GLASSDOOR-E1838_P1.html;22;Robert Half; Recrutement et sous-traitance;Menlo Park, CA (États-Unis);Plus de 10 000 employés; Entreprise cotée en bourse (RHI) ;Menlo Park, CA (États-Unis)
 1933;13596-INFO-SOC-GLASSDOOR-E111193_P1.html;23;Lacoste; Magasins de chaussures, de vêtements et grands magasins;Paris;De 5 001 à 10 000 employés; Entreprise non cotée en bourse;Paris
 Inconnu;13598-INFO-SOC-GLASSDOOR-E1363502_P1.html;24;Lacoste Traiteur; Inconnu;Eysines;De 51 à 200 employés; Entreprise non cotée en bourse;Eysines
 Inconnu;13600-INFO-SOC-GLASSDOOR-E541990_P1.html;25;CGIAR; Assistance sociale;Montpellier;De 5 001 à 10 000 employés; Association à but non lucratif;Montpellier
 1927;13602-INFO-SOC-GLASSDOOR-E3516_P1.html;26;Volvo Group; Fabrication d'équipement de transport;Gothenburg (Suède);Plus de 10 000 employés; Entreprise cotée en bourse (VOLVY) ;Gothenburg (Suède)
 1928;13603-INFO-SOC-GLASSDOOR-E5772_P1.html;27;Volvo Trucks; Fabrication d'équipement de transport;Greensboro, NC (États-Unis);De 1 001 à 5 000 employés; Filiale ou unité d'exploitation;Greensboro, NC (États-Unis)
 1927;13604-INFO-SOC-GLASSDOOR-E37990_P1.html;28;Volvo Cars; Fabrication industrielle;Gothenburg (Suède);Plus de 10 000 employés; Entreprise non cotée en bourse;Gothenburg (Suède)
 1985;13606-INFO-SOC-GLASSDOOR-E31197_P1.html;29;Volvo Construction Equipment; Fabrication industrielle;Asheville, NC (États-Unis);Entre 201 et 500 employés; Filiale ou unité d'exploitation;Asheville, NC (États-Unis)
 Inconnu;13551-INFO-SOC-GLASSDOOR-E794111_P1.html;3;Atos; Fabrication d'appareils électriques et électroniques;Sesto Calende (Italie);Entre 201 et 500 employés; Entreprise non cotée en bourse;Sesto Calende (Italie)
 Filiale ou unité d'exploitation;13607-INFO-SOC-GLASSDOOR-E301204_P1.html;30;Volvo Information Technology; Entre 5 et 10 milliards € (EUR) par an;De 1 001 à 5 000 employés; Inconnu; Services informatiques;De 1 001 à 5 000 employés
 1972;13612-INFO-SOC-GLASSDOOR-E845851_P1.html;31;Feu Vert; Magasins de pièces automobiles et accessoires;Écully;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Écully
 1992;13614-INFO-SOC-GLASSDOOR-E230035_P1.html;32;SeLoger; Édition;Paris;De 501 à 1 000 employés; Entreprise non cotée en bourse;Paris
 2013;13615-INFO-SOC-GLASSDOOR-E6538_P1.html;33;CNH Industrial; Fabrication industrielle;Londres, Angleterre (Royaume-Uni);Plus de 10 000 employés; Entreprise cotée en bourse (CNHI) ;Londres, Angleterre (Royaume-Uni)
"<a href=""/Présentation/Travailler-chez-CNH-Industrial-EI_IE6538.16,30.htm"">CNH Industrial</a>";13617-INFO-SOC-GLASSDOOR-E139323_P1.html;34;CNH Industrial Capital; Entreprise cotée en bourse (CNHI) ;Racine, WI (États-Unis);Entre 201 et 500 employés; Inconnu;Racine, WI (États-Unis)
 Inconnu;13618-INFO-SOC-GLASSDOOR-E1136406_P1.html;35;SOTRAVO Filiale SOLOCAL GROUP; Inconnu;Montigny;Inconnu; Inconnu;Montigny
 Inconnu;13619-INFO-SOC-GLASSDOOR-E800152_P1.html;36;SoLocal Group; Services de télécommunications;Sèvres;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Sèvres
 Inconnu;13621-INFO-SOC-GLASSDOOR-E1178969_P1.html;37;Morgan Philips Group; Inconnu;Luxembourg (Luxembourg);De 51 à 200 employés; Entreprise non cotée en bourse;Luxembourg (Luxembourg)
 2013;13622-INFO-SOC-GLASSDOOR-E847875_P1.html;38;Morgan Philips Executive Search; Recrutement et sous-traitance;Luxembourg (Luxembourg);Entre 201 et 500 employés; Filiale ou unité d'exploitation;Luxembourg (Luxembourg)
 1978;13623-INFO-SOC-GLASSDOOR-E1146056_P1.html;39;Montreal Associates; Recrutement et sous-traitance;Londres, Angleterre (Royaume-Uni);De 51 à 200 employés; Entreprise non cotée en bourse;Londres, Angleterre (Royaume-Uni)
 Inconnu;13552-INFO-SOC-GLASSDOOR-E2131167_P1.html;4;Atos Consulting; Inconnu;Nyon (Suisse);De 1 001 à 5 000 employés; Entreprise cotée en bourse;Nyon (Suisse)
 1861;13624-INFO-SOC-GLASSDOOR-E397805_P1.html;40;STM; Secteur ferroviaire;Montréal, QC (Canada);De 5 001 à 10 000 employés; Gouvernement;Montréal, QC (Canada)
 1873;13625-INFO-SOC-GLASSDOOR-E192082_P1.html;41;Polytechnique Montréal; Enseignement supérieur et universités;Montréal, QC (Canada);De 1 001 à 5 000 employés; Enseignement supérieur/universitaire;Montréal, QC (Canada)
 1817;13626-INFO-SOC-GLASSDOOR-E3765_P1.html;42;BMO Financial Group; Banques et organismes de crédit;Toronto, ON (Canada);Plus de 10 000 employés; Entreprise cotée en bourse (BMO) ;Toronto, ON (Canada)
