experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13660-INFO-EMP-LINKEDIN-FR-1589527645.html;Technologies de l’information;NULL;Lyon, Auvergne-Rhône-Alpes, France;NULL;Confirmé;NULL;WOM Recruitment;Technologies et services de l’information;NULL;NULL;Architecte Data/BI H/F ;Temps plein
NULL;13661-INFO-EMP-LINKEDIN-FR-1616553459.html;Technologies de l’information;NULL;Lyon, FR;NULL;Premier emploi;NULL;Veolia;Technologies et services de l’information;NULL;NULL;Data Analyst-Data Scientist;Temps plein
NULL;13662-INFO-EMP-LINKEDIN-FR-1645674770.html;Conseil;NULL;Région de Paris, France;NULL;Manager;NULL;Awalee Consulting;Ingénierie;NULL;NULL;Data Scientist;Temps plein
NULL;13663-INFO-EMP-LINKEDIN-FR-1608545171.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;Citech;Ventes;NULL;NULL;Consultant Décisionnel (H/F) - Lyon;Temps plein
NULL;13664-INFO-EMP-LINKEDIN-FR-1608842426.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;Citech;Ventes;NULL;NULL;Consultant Décisionnel (H/F) / Freelance;Temps plein
NULL;13557-INFO-EMP-LINKEDIN-FR-1644582626.html;Ingénierie;NULL;Gradignan, FR;NULL;Premier emploi;NULL;Université de Bordeaux;Technologies de l’information;NULL;NULL;Assistant ingénieur en CDD, Administrateur / Concepteur / Développeur SI décisionnel H/F, BAP E;Temps plein
NULL;13665-INFO-EMP-LINKEDIN-FR-1611024126.html;Conseil;NULL;Lyon, FR;NULL;Confirmé;NULL;DeciVision;Technologies de l’information;NULL;NULL;CONSULTANT / CONSULTANTE DÉCISIONNEL - BUSINESS INTELLIGENC (H/F);Temps plein
NULL;13666-INFO-EMP-LINKEDIN-FR-1617992097.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;CITECH;Ventes;NULL;NULL;Consultant Décisionnel (H/F);Temps plein
NULL;13667-INFO-EMP-LINKEDIN-FR-1564431807.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;DeciVision;Ventes;NULL;NULL;Consultant BI confirmé H/F - Lyon;Temps plein
NULL;13668-INFO-EMP-LINKEDIN-FR-1550369256.html;Développement commercial;NULL;Lyon, FR;NULL;Confirmé;NULL;ALTIVIEW;Ventes;NULL;NULL;Consultant Décisionnel;Temps plein
NULL;13669-INFO-EMP-LINKEDIN-FR-1465801732.html;Ingénierie;NULL;Lyon, FR;NULL;Confirmé;NULL;Everwin;Technologies de l’information;NULL;NULL;Consultant intégration progiciel (H/F);Temps plein
NULL;13670-INFO-EMP-LINKEDIN-FR-1586967443.html;Ingénierie;NULL;Neuilly-sur-Seine, FR;NULL;Premier emploi;NULL;SEPHORA;Technologies de l’information;NULL;NULL;Stage - Data Scientist;Temps plein
NULL;13671-INFO-EMP-LINKEDIN-FR-1599275657.html;Technologies de l’information;NULL;Departement des Hauts-de-Seine, FR;NULL;Premier emploi;NULL;AXA en France;Technologies et services de l’information;NULL;NULL;Graduate Program - Data Analyst en santé (F/H);Temps plein
NULL;13672-INFO-EMP-LINKEDIN-FR-1638767811.html;Ingénierie;NULL;Colombes, FR;NULL;Premier emploi;NULL;DATALAKE;Technologies de l’information;NULL;NULL;Développeur Android F/H;Temps plein
