fichier_source;id_soc;nom_societe;taille_entreprise;ville_entreprise
13550-INFO-SOC-GLASSDOOR-E10686_P1.html;2;Atos;Plus de 10 000 employés;Bezons
13585-INFO-SOC-GLASSDOOR-E13058_P1.html;20;Cegedim;De 1 001 à 5 000 employés;Boulogne-Billancourt
13586-INFO-SOC-GLASSDOOR-E649071_P1.html;21;Groupe Creative;Entre 201 et 500 employés;Rennes
13587-INFO-SOC-GLASSDOOR-E1838_P1.html;22;Robert Half;Plus de 10 000 employés;Menlo Park, CA (États-Unis)
13596-INFO-SOC-GLASSDOOR-E111193_P1.html;23;Lacoste;"De
															5 001 à 10 000 employés";Paris
13598-INFO-SOC-GLASSDOOR-E1363502_P1.html;24;Lacoste Traiteur;De 51 à 200 employés;Eysines
13600-INFO-SOC-GLASSDOOR-E541990_P1.html;25;CGIAR;De 5 001 à 10 000 employés;Montpellier
13602-INFO-SOC-GLASSDOOR-E3516_P1.html;26;Volvo Group;Plus de 10 000 employés;Gothenburg (Suède)
13603-INFO-SOC-GLASSDOOR-E5772_P1.html;27;Volvo Trucks;De 1 001 à 5 000 employés;Greensboro, NC (États-Unis)
13604-INFO-SOC-GLASSDOOR-E37990_P1.html;28;Volvo Cars;Plus de 10 000 employés;Gothenburg (Suède)
13606-INFO-SOC-GLASSDOOR-E31197_P1.html;29;Volvo Construction Equipment;Entre 201 et 500 employés;Asheville, NC (États-Unis)
13551-INFO-SOC-GLASSDOOR-E794111_P1.html;3;Atos;Entre 201 et 500 employés;Sesto Calende (Italie)
13607-INFO-SOC-GLASSDOOR-E301204_P1.html;30;Volvo Information Technology; Inconnu;De 1 001 à 5 000 employés
13612-INFO-SOC-GLASSDOOR-E845851_P1.html;31;Feu Vert;De 1 001 à 5 000 employés;Écully
13614-INFO-SOC-GLASSDOOR-E230035_P1.html;32;SeLoger;De 501 à 1 000 employés;Paris
13615-INFO-SOC-GLASSDOOR-E6538_P1.html;33;CNH Industrial;Plus de 10 000 employés;Londres, Angleterre (Royaume-Uni)
13617-INFO-SOC-GLASSDOOR-E139323_P1.html;34;CNH Industrial Capital;Entre 201 et 500 employés;Racine, WI (États-Unis)
13618-INFO-SOC-GLASSDOOR-E1136406_P1.html;35;SOTRAVO Filiale SOLOCAL GROUP;Inconnu;Montigny
13619-INFO-SOC-GLASSDOOR-E800152_P1.html;36;SoLocal Group;De 1 001 à 5 000 employés;Sèvres
13621-INFO-SOC-GLASSDOOR-E1178969_P1.html;37;Morgan Philips Group;De 51 à 200 employés;Luxembourg (Luxembourg)
13622-INFO-SOC-GLASSDOOR-E847875_P1.html;38;Morgan Philips Executive Search;Entre 201 et 500 employés;Luxembourg (Luxembourg)
13623-INFO-SOC-GLASSDOOR-E1146056_P1.html;39;Montreal Associates;De 51 à 200 employés;Londres, Angleterre (Royaume-Uni)
13552-INFO-SOC-GLASSDOOR-E2131167_P1.html;4;Atos Consulting;De 1 001 à 5 000 employés;Nyon (Suisse)
13624-INFO-SOC-GLASSDOOR-E397805_P1.html;40;STM;De 5 001 à 10 000 employés;Montréal, QC (Canada)
13625-INFO-SOC-GLASSDOOR-E192082_P1.html;41;Polytechnique Montréal;De 1 001 à 5 000 employés;Montréal, QC (Canada)
13626-INFO-SOC-GLASSDOOR-E3765_P1.html;42;BMO Financial Group;Plus de 10 000 employés;Toronto, ON (Canada)
13627-INFO-SOC-GLASSDOOR-E253618_P1.html;43;Concordia University;De 5 001 à 10 000 employés;Montréal, QC (Canada)
13628-INFO-SOC-GLASSDOOR-E235643_P1.html;44;University of Montreal;De 5 001 à 10 000 employés;Montréal, QC (Canada)
13629-INFO-SOC-GLASSDOOR-E474142_P1.html;45;CRIM (Computer Research Institute of Montreal);Inconnu;Montréal, QC (Canada)
13630-INFO-SOC-GLASSDOOR-E456207_P1.html;46;Eidos Montreal;Entre 201 et 500 employés;Montréal, QC (Canada)
13633-INFO-SOC-GLASSDOOR-E672181_P1.html;47;Softeam;De 501 à 1 000 employés;Paris
13634-INFO-SOC-GLASSDOOR-E7633_P1.html;48;NVIDIA;Plus de 10 000 employés;Santa Clara, CA (États-Unis)
13636-INFO-SOC-GLASSDOOR-E1303620_P1.html;49;2S2I Solutions & Services;De 51 à 200 employés;Montpellier
13553-INFO-SOC-GLASSDOOR-E5304_P1.html;5;Atos-Syntel;Plus de 10 000 employés;Troy, MI (États-Unis)
13637-INFO-SOC-GLASSDOOR-E3133104_P1.html;50;ALTRAN;Inconnu;Hambourg (Allemagne)
13638-INFO-SOC-GLASSDOOR-E1481570_P1.html;51;ALTRAD Group;De 1 001 à 5 000 employés;Montpellier
13639-INFO-SOC-GLASSDOOR-E7448_P1.html;52;Altran Group;Plus de 10 000 employés;Paris
13640-INFO-SOC-GLASSDOOR-E427636_P1.html;53;Altran Engineering Solution;De 501 à 1 000 employés;Nice
13641-INFO-SOC-GLASSDOOR-E28187_P1.html;54;Altran North America;Plus de 10 000 employés;New York, NY (États-Unis)
13643-INFO-SOC-GLASSDOOR-E2411165_P1.html;55;Altran Telnet; Inconnu;Entre 201 et 500 employés
13645-INFO-SOC-GLASSDOOR-E14590_P1.html;56;Sephora;Plus de 10 000 employés;San Francisco, CA (États-Unis)
13646-INFO-SOC-GLASSDOOR-E3489_P1.html;57;LVMH;Plus de 10 000 employés;Paris
13647-INFO-SOC-GLASSDOOR-E241449_P1.html;58;Statkraft AS;Entre 201 et 500 employés;Oslo (Norvège)
13648-INFO-SOC-GLASSDOOR-E1137726_P1.html;59;Sparklane;De 1 à 50 employés;Paris
13554-INFO-SOC-GLASSDOOR-E855284_P1.html;6;Atos Medical;De 51 à 200 employés;New Berlin, WI (États-Unis)
13649-INFO-SOC-GLASSDOOR-E2548_P1.html;60;Manpower;De 5 001 à 10 000 employés;Uxbridge, Angleterre (Royaume-Uni)
13650-INFO-SOC-GLASSDOOR-E809243_P1.html;61;ITS;De 1 à 50 employés;Burnaby, BC (Canada)
13652-INFO-SOC-GLASSDOOR-E788645_P1.html;62;ITS Group;De 1 001 à 5 000 employés;Boulogne-Billancourt
13653-INFO-SOC-GLASSDOOR-E454220_P1.html;63;Loria;De 501 à 1 000 employés;Vandoeuvre
13654-INFO-SOC-GLASSDOOR-E899918_P1.html;64;ITS Overlap;Entre 201 et 500 employés;Nanterre
13655-INFO-SOC-GLASSDOOR-E717393_P1.html;65;Canon ITS;Entre 201 et 500 employés;Chesapeake, VA (États-Unis)
13660-INFO-SOC-GLASSDOOR-E26056_P1.html;66;Groupe SII;De 1 001 à 5 000 employés;Paris
13661-INFO-SOC-GLASSDOOR-E633820_P1.html;67;Sii Poland;De 1 001 à 5 000 employés;Varsovie (Pologne)
13668-INFO-SOC-GLASSDOOR-E1127933_P1.html;68;cerema;De 1 001 à 5 000 employés;Bron, Rhône-Alpes
13673-INFO-SOC-GLASSDOOR-E1464013_P1.html;69;Paris Inn Group;De 501 à 1 000 employés;Paris
13558-INFO-SOC-GLASSDOOR-E6162_P1.html;7;Dassault Systemes;Plus de 10 000 employés;Vélizy
13676-INFO-SOC-GLASSDOOR-E1130981_P1.html;70;Groupe Altice Média;De 501 à 1 000 employés;Paris
13677-INFO-SOC-GLASSDOOR-E1063459_P1.html;71;CALIDA Group;Inconnu;Sursee (Suisse)
13678-INFO-SOC-GLASSDOOR-E379472_P1.html;72;Logware;Entre 201 et 500 employés;Paris
13679-INFO-SOC-GLASSDOOR-E906809_P1.html;73;Fortuneo SA;Entre 201 et 500 employés;Paris
13689-INFO-SOC-GLASSDOOR-E2098670_P1.html;74;Adsearch;De 51 à 200 employés;Paris
13691-INFO-SOC-GLASSDOOR-E1130973_P1.html;75;Groupe Adéquat;De 501 à 1 000 employés;Lyon
13692-INFO-SOC-GLASSDOOR-E929611_P1.html;76;Teads;De 501 à 1 000 employés;Luxembourg (Luxembourg)
13693-INFO-SOC-GLASSDOOR-E762009_P1.html;77;Datadog;De 1 001 à 5 000 employés;New York, NY (États-Unis)
13699-INFO-SOC-GLASSDOOR-E3489_P1.html;78;LVMH;Plus de 10 000 employés;Paris
13700-INFO-SOC-GLASSDOOR-E1127781_P1.html;79;CELINE;De 1 001 à 5 000 employés;Paris
13559-INFO-SOC-GLASSDOOR-E13824_P1.html;8;SolidWorks;De 501 à 1 000 employés;Waltham, MA (États-Unis)
13701-INFO-SOC-GLASSDOOR-E1132974_P1.html;80;Les Echos;Entre 201 et 500 employés;Paris
13702-INFO-SOC-GLASSDOOR-E1159854_P1.html;81;Kendo;Entre 201 et 500 employés;San Francisco, CA (États-Unis)
13704-INFO-SOC-GLASSDOOR-E9347_P1.html;82;Sanofi;Plus de 10 000 employés;Paris
